county,confirmed_cases,confirmed_deaths,state,length_of_lockdown,cases,deaths,POP_ESTIMATE_2018,total_state_pop,Active.Physicians.per.100.000.Population..2018..AAMC.,Total.Active.Patient.Care.Physicians.per.100.000.Population..2018..AAMC.,Active.Primary.Care.Physicians.per.100.000.Population..2018..AAMC.,Active.Patient.Care.Primary.Care.Physicians.per.100.000.Population..2018..AAMC.,Active.General.Surgeons.per.100.000.Population..2018..AAMC.,Active.Patient.Care.General.Surgeons.per.100.000.Population..2018..AAMC.,Percentage.of.Active.Physicians.Who.Are.Female..2018..AAMC.,Percentage.of.Active.Physicians.Who.Are.International.Medical.Graduates..IMGs...2018..AAMC.,Percentage.of.Active.Physicians.Who.Are.Age.60.or.Older..2018..AAMC.,MD.and.DO.Student.Enrollment.per.100.000.Population..AY.2018.2019..AAMC.,Student.Enrollment.at.Public.MD.and.DO.Schools.per.100.000.Population..AY.2018.2019..AAMC.,Percentage.Change.in.Student.Enrollment.at.MD.and.DO.Schools..2008.2018..AAMC.,Percentage.of.MD.Students.Matriculating.In.State..AY.2018.2019..AAMC.,Total.Residents.Fellows.in.ACGME.Programs.per.100.000.Population.as.of.December.31..2018..AAMC.,Total.Residents.Fellows.in.Primary.Care.ACGME.Programs.per.100.000.Population.as.of.Dec..31..2018..AAMC.,Percentage.of.Residents.in.ACGME.Programs.Who.Are.IMGs.as.of.December.31..2018..AAMC.,Ratio.of.Residents.and.Fellows..GME..to.Medical.Students..UME...AY.2017.2018..AAMC.,Percent.Change.in.Residents.and.Fellows.in.ACGME.Accredited.Programs..2008.2018..AAMC.,Percentage.of.Physicians.Retained.in.State.from.Undergraduate.Medical.Education..UME...2018..AAMC.,All.Specialties..AAMC.,State.Local.Government.hospital.beds.per.1000.people..2019.,Non.profit.hospital.beds.per.1000.people..2019.,For.profit.hospital.beds.per.1000.people..2019.,Total.hospital.beds.per.1000.people..2019.,Total.nurse.practitioners..2019.,Total.physician.assistants..2019.,Total.Hospitals..2019.,Total.Primary.Care.Physicians..2019.,Surgery.specialists..2019.,Emergency.Medicine.specialists..2019.,Total.Specialist.Physicians..2019.,ICU.Beds,pop_fraction,Length.of.Life.rank,Quality.of.Life.rank,Health.Behaviors.rank,Clinical.Care.rank,Social...Economic.Factors.rank,Physical.Environment.rank,Adult.smoking.percentage,Adult.obesity.percentage,Excessive.drinking.percentage,Population.per.sq.mile,House.per.sq.mile,Share.of.Tests.with.Positive.COVID.19.Results,Number.of.Tests.with.Results.per.1.000.Population
Clarke,65,1,Alabama,26,2.717391304,0.04180602,23920,9775742,217.1,196.7,77.2,71.2,7.6,6.9,28.5,18.1,34.4,49.1,22.8,136.8,82.1,29.9,11.9,21.9,0.6,18.4,48.4,2.17149757,1.4,0.8,0.9,3.1,0.519039885,0.109454607,0.020663393,1.199499741,0.15425939,0.095133444,1.297497418,0,0.002446873,39,51,43,43,59,11,21,34,12,20.9,10.2,0.077853,27.8
Clay,27,1,Alabama,26,2.033898305,0.075329567,13275,9775742,217.1,196.7,77.2,71.2,7.6,6.9,28.5,18.1,34.4,49.1,22.8,136.8,82.1,29.9,11.9,21.9,0.6,18.4,48.4,2.17149757,1.4,0.8,0.9,3.1,0.519039885,0.109454607,0.020663393,1.199499742,0.15425939,0.095133444,1.297497418,0.301318267,0.001357953,26,34,41,48,40,62,20,41,13,23.1,11.2,0.077853,27.8
Cleburne,13,1,Alabama,26,0.867418429,0.066724495,14987,9775742,217.1,196.7,77.2,71.2,7.6,6.9,28.5,18.1,34.4,49.1,22.8,136.8,82.1,29.9,11.9,21.9,0.6,18.4,48.4,2.17149757,1.4,0.8,0.9,3.1,0.519039885,0.109454607,0.020663393,1.199499741,0.15425939,0.095133444,1.297497418,0,0.001533081,35,9,19,63,21,8,18,37,14,26.7,12,0.077853,27.8
Coffee,158,1,Alabama,26,3.043788168,0.019264482,51909,9775742,217.1,196.7,77.2,71.2,7.6,6.9,28.5,18.1,34.4,49.1,22.8,136.8,82.1,29.9,11.9,21.9,0.6,18.4,48.4,2.171497571,1.4,0.8,0.9,3.1,0.519039885,0.109454607,0.020663393,1.199499741,0.15425939,0.095133444,1.297497418,0.134851375,0.005309981,6,3,10,17,5,10,17,34,15,73.6,32.9,0.077853,27.8
Colbert,74,2,Alabama,26,1.351301998,0.036521676,54762,9775742,217.1,196.7,77.2,71.2,7.6,6.9,28.5,18.1,34.4,49.1,22.8,136.8,82.1,29.9,11.9,21.9,0.6,18.4,48.4,2.171497569,1.4,0.8,0.9,3.1,0.519039885,0.109454607,0.020663393,1.199499741,0.15425939,0.095133444,1.297497418,0.401738432,0.005601825,30,17,14,9,17,35,19,31,15,91.8,43.5,0.077853,27.8
Conecuh,16,0,Alabama,26,1.30324998,0,12277,9775742,217.1,196.7,77.2,71.2,7.6,6.9,28.5,18.1,34.4,49.1,22.8,136.8,82.1,29.9,11.9,21.9,0.6,18.4,48.4,2.17149757,1.4,0.8,0.9,3.1,0.519039885,0.109454607,0.020663393,1.199499741,0.15425939,0.095133444,1.297497418,0,0.001255864,32,62,56,61,57,25,21,43,12,15.6,8.3,0.077853,27.8
Coosa,33,1,Alabama,26,3.07979468,0.093327112,10715,9775742,217.1,196.7,77.2,71.2,7.6,6.9,28.5,18.1,34.4,49.1,22.8,136.8,82.1,29.9,11.9,21.9,0.6,18.4,48.4,2.17149757,1.4,0.8,0.9,3.1,0.519039885,0.109454607,0.020663393,1.199499741,0.15425939,0.095133444,1.297497418,0,0.00109608,60,53,48,39,50,61,20,40,13,17.7,10,0.077853,27.8
Covington,56,1,Alabama,26,1.514086411,0.027037257,36986,9775742,217.1,196.7,77.2,71.2,7.6,6.9,28.5,18.1,34.4,49.1,22.8,136.8,82.1,29.9,11.9,21.9,0.6,18.4,48.4,2.17149757,1.4,0.8,0.9,3.1,0.519039885,0.109454607,0.020663393,1.199499741,0.15425939,0.095133444,1.297497418,0.351484345,0.003783447,43,32,24,51,26,7,19,32,14,36.6,18.3,0.077853,27.8
Crenshaw,48,1,Alabama,26,3.472222222,0.072337963,13824,9775742,217.1,196.7,77.2,71.2,7.6,6.9,28.5,18.1,34.4,49.1,22.8,136.8,82.1,29.9,11.9,21.9,0.6,18.4,48.4,2.17149757,1.4,0.8,0.9,3.1,0.519039885,0.109454607,0.020663393,1.199499741,0.15425939,0.095133444,1.297497418,0,0.001414113,18,29,45,59,44,1,19,38,15,22.8,11.1,0.077853,27.8
Cullman,67,0,Alabama,26,0.802952949,0,83442,9775742,217.1,196.7,77.2,71.2,7.6,6.9,28.5,18.1,34.4,49.1,22.8,136.8,82.1,29.9,11.9,21.9,0.6,18.4,48.4,2.171497571,1.4,0.8,0.9,3.1,0.519039885,0.109454607,0.020663393,1.199499741,0.15425939,0.095133444,1.297497417,0.143812469,0.008535618,22,15,22,21,10,43,18,37,15,109.4,50.4,0.077853,27.8
